Geneid	Length	RNA-seq_Gametocyte_WT_1	RNA-seq_Gametocyte_WT_2	RNA-seq_Gametocyte_WT_3	RNA-seq_gSNF2_KO_1	RNA-seq_gSNF2_KO_2	RNA-seq_gSNF2_KO_3
PBANKA_0107900	2322	2827	1226	360	379	876	227
PBANKA_0108000	1809	891	418	176	104	439	101
PBANKA_0108100	3330	3663	1293	389	312	1089	280
PBANKA_0108200	4734	2230	1014	261	300	1136	319
PBANKA_0108300	855	7842	8185	2195	3111	4920	2028
PBANKA_0108400	5244	2161	930	300	330	748	269
PBANKA_0108500	954	550	357	117	71	299	39
PBANKA_0108600	1290	916	440	166	131	366	61
PBANKA_0108700	2040	11288	5634	1261	1011	4170	902
PBANKA_0108800	411	3711	4098	1255	2599	4049	902
PBANKA_0108900	372	308	190	71	105	165	58
PBANKA_0109000	258	196	40	32	17	109	25
PBANKA_0109100	2013	3898	1866	700	955	1707	592
PBANKA_0109200	3525	6824	2195	451	658	1799	472
PBANKA_0109300	870	998	1092	394	251	1273	86
PBANKA_0109400	267	376	240	77	45	166	46
PBANKA_0109500	840	1387	721	336	202	731	130
PBANKA_0109600	843	2701	2062	914	916	2131	623
PBANKA_0109700	2409	4281	1763	524	466	1605	296
PBANKA_0109800	1113	16293	6166	1822	1355	6463	810
PBANKA_0109900	1854	18486	7852	2353	1509	8183	571
PBANKA_0110000	156	1285	726	785	482	2709	278
PBANKA_0110100	7836	14468	4319	803	985	5831	907
PBANKA_0110200	537	2064	897	272	294	568	189
PBANKA_0110300	171	103	38	33	34	55	13
PBANKA_0110400	1707	1123	390	131	192	531	115
PBANKA_0110500	6105	39704	14583	669	3802	11898	3256
PBANKA_0110600	354	172	43	28	23	124	12
PBANKA_0110700	705	692	309	148	349	530	269
PBANKA_0110800	360	11057	7497	2089	666	5244	520
PBANKA_0110900	1218	1671	1347	766	786	3029	463
PBANKA_0111000	1005	453	176	57	20	161	18
PBANKA_0111100	984	551	250	94	35	148	30
PBANKA_0111200	2034	4589	2127	675	348	1131	223
PBANKA_0111300	379	1513	757	222	192	791	108
PBANKA_0111400	231	1221	956	392	616	1965	355
PBANKA_0111500	192	288	196	65	45	283	25
PBANKA_0111600	3267	511	454	143	100	317	76
PBANKA_0111700	639	1949	2034	688	594	1394	366
PBANKA_0111800	3003	1059	451	117	178	454	152
PBANKA_0111900	2169	433	281	100	127	300	106
PBANKA_0112000	1947	671	236	87	74	329	48
PBANKA_0112100	7737	6351	1912	524	730	2271	649
PBANKA_0112200	5877	1841	1115	58	326	903	292
PBANKA_0112300	2538	2593	868	242	217	799	141
PBANKA_0112400	2436	1044	394	146	119	553	63
PBANKA_0112500	1800	1059	482	247	201	556	91
PBANKA_0112600	1329	1418	394	190	90	312	58
PBANKA_0112621	1470	154	76	31	28	38	30
PBANKA_0112641	693	769	726	223	92	264	181
PBANKA_0112661	798	3	0	2	1	0	0
PBANKA_0112681	891	0	0	0	0	0	0
PBANKA_0112701	876	2	2	0	0	0	0
PBANKA_0112721	843	13	6	4	0	3	1
PBANKA_0200400	981	1100	1039	515	538	1757	152
PBANKA_0200500	789	125	24	12	4	8	0
PBANKA_0200600	849	1599	1102	486	10	33	4
PBANKA_0200650	816	51	13	5	3	6	1
PBANKA_0200670	894	8	3	1	0	5	0
PBANKA_0200700	741	203	44	15	1	1	2
PBANKA_0200751	963	23	9	8	2	8	2
PBANKA_0201000	777	201	121	55	19	50	32
PBANKA_0201051	5301	175	69	3	6	88	6
PBANKA_0201100	825	68	43	21	15	41	2
PBANKA_0201200	672	32	17	6	5	12	7
PBANKA_0201250	639	663	529	186	319	453	159
PBANKA_0201300	1371	706	476	137	142	234	97
PBANKA_0201340	330	887	772	237	200	463	146
PBANKA_0201360	1473	22	19	8	15	25	4
PBANKA_0201400	858	177	40	22	15	53	14
PBANKA_0201450	633	30	1	3	10	21	10
PBANKA_0201500	687	1461	467	187	281	308	66
PBANKA_0201600	534	16567	9458	6391	7402	13367	4016
PBANKA_0201700	258	310	315	67	64	194	62
PBANKA_0201800	1323	601	308	86	65	297	87
PBANKA_0201900	240	1469	996	284	136	712	113
PBANKA_0202000	1632	3085	1953	677	425	1838	249
PBANKA_0202100	351	44	16	14	9	34	10
PBANKA_0202200	804	422	234	86	54	189	39
PBANKA_0202300	1086	1189	662	275	257	588	163
PBANKA_0202400	1623	2515	920	299	299	727	209
PBANKA_0202500	3132	5955	1820	633	535	1890	418
PBANKA_0202600	294	169	120	52	14	325	22
PBANKA_0202700	4383	16465	5090	483	684	1719	131
PBANKA_0202800	606	231	166	42	82	128	49
PBANKA_0202900	1104	2007	1224	341	277	843	258
PBANKA_0203000	1341	21152	9418	4402	1325	5234	1225
PBANKA_0203100	3726	3963	1790	698	706	1641	391
PBANKA_0203200	3342	2820	1150	376	389	909	292
PBANKA_0203300	681	632	386	138	143	335	71
PBANKA_0203400	420	369	302	79	151	214	59
PBANKA_0203500	2100	1830	829	327	275	752	271
PBANKA_0203600	690	15322	11796	3520	2706	6846	2976
PBANKA_0203650	501	533	454	207	115	819	55
PBANKA_0203750	1758	1774	1344	506	470	1236	188
PBANKA_0203800	1668	1978	554	252	286	598	168
PBANKA_0203900	567	414	547	216	39	271	25
PBANKA_0204000	435	146	128	36	30	105	33
PBANKA_0204100	459	795	498	191	251	545	139
PBANKA_0204200	498	2939	1551	569	296	1774	271
PBANKA_0204300	969	610	290	99	118	446	82
PBANKA_0204400	726	4561	1805	539	504	1418	393
PBANKA_0204500	3150	24323	7510	2584	2716	7103	2144
PBANKA_0204600	669	3397	2299	602	505	1354	196
PBANKA_0204700	1083	1050	855	298	378	781	219
PBANKA_0204800	2763	4896	2065	213	511	1813	238
PBANKA_0204900	906	1224	718	297	308	619	166
PBANKA_0205000	519	2082	1915	521	143	904	81
PBANKA_0205100	1005	1573	548	144	173	426	147
PBANKA_0205200	5655	26289	6482	434	2952	7075	1664
PBANKA_0205300	1989	894	395	123	97	320	61
PBANKA_0205400	657	1762	1089	473	418	742	314
PBANKA_0205500	780	100	56	21	24	88	32
PBANKA_0205600	3153	873	246	105	87	287	60
PBANKA_0205700	1263	20	13	5	4	8	7
PBANKA_0205800	8175	64474	18299	955	2498	14819	2363
PBANKA_0205900	4074	5234	1615	567	695	1553	419
PBANKA_0206000	510	1851	1032	344	264	1000	162
PBANKA_0206100	1017	677	533	179	127	473	60
PBANKA_0206200	1434	712	462	197	160	336	101
PBANKA_0206300	507	5942	3768	1185	1074	1559	350
PBANKA_0206400	1929	455	208	82	86	181	54
PBANKA_0206500	645	1378	1055	392	412	829	276
PBANKA_0206600	3558	2111	616	217	261	709	134
PBANKA_0206700	819	265	271	64	18	50	12
PBANKA_0206800	3939	5184	1575	499	332	1146	218
PBANKA_0206900	480	278	185	68	83	145	57
PBANKA_0207000	3363	10368	5435	1171	1752	3694	1359
PBANKA_0207100	636	1065	672	197	66	186	42
PBANKA_0207200	1152	1740	714	297	170	709	80
PBANKA_0207300	2094	772	308	125	153	280	59
PBANKA_0207400	1536	971	345	117	89	286	52
PBANKA_0207500	2466	4599	1705	553	461	1744	245
PBANKA_0207600	6558	14929	5030	129	746	6105	647
PBANKA_0207700	3540	1558	394	131	193	513	95
PBANKA_0207800	990	186	121	56	51	115	24
PBANKA_0207900	423	102	75	23	27	177	11
PBANKA_0208000	486	1960	1141	385	300	1011	178
PBANKA_0208100	1671	3192	635	223	184	597	88
PBANKA_0208200	429	1236	617	176	84	411	65
PBANKA_0208300	1521	1162	325	97	91	306	49
PBANKA_0208400	1875	2446	707	146	176	684	83
PBANKA_0208500	3798	949	409	202	238	526	122
PBANKA_0208600	822	711	334	130	109	314	100
PBANKA_0208700	1479	1663	756	254	275	681	136
PBANKA_0208800	8838	10079	2989	251	643	3605	896
PBANKA_0208900	1326	892	568	160	103	422	74
PBANKA_0209000	2457	878	625	187	145	439	87
PBANKA_0209100	480	343	300	88	165	227	91
PBANKA_0209200	1518	952	323	131	73	271	43
PBANKA_0209300	1140	13561	12259	4705	7053	13264	3801
PBANKA_0209400	1623	950	541	235	213	767	70
PBANKA_0209500	3177	1956	1034	352	338	1055	181
PBANKA_0209600	4680	699	422	154	154	446	112
PBANKA_0209700	4614	8093	2889	211	1051	2585	722
PBANKA_0209800	2229	725	228	119	93	425	78
PBANKA_0209900	1290	472	166	80	75	239	68
PBANKA_0210000	3891	1381	647	216	243	572	186
PBANKA_0210100	846	1207	888	309	209	637	244
PBANKA_0210200	2061	6723	4843	1763	2383	4349	816
PBANKA_0210300	1485	542	353	118	159	314	58
PBANKA_0210400	3231	12631	5654	1602	1383	3833	819
PBANKA_0210500	12615	3754	1138	274	385	1156	224
PBANKA_0210600	8367	14794	4127	221	585	5435	453
PBANKA_0210700	2040	2322	1107	309	526	994	341
PBANKA_0210800	513	474	242	205	71	400	57
PBANKA_0210900	318	119	65	42	58	120	35
PBANKA_0211000	1317	855	548	196	154	450	149
PBANKA_0211100	2820	347	94	45	44	136	28
PBANKA_0211200	2652	1368	560	180	111	496	102
PBANKA_0211300	1626	1463	877	233	233	594	143
PBANKA_0211400	2322	1177	469	160	110	437	80
PBANKA_0211500	771	2391	1282	507	657	942	349
PBANKA_0211600	2163	1417	687	241	265	644	286
PBANKA_0211700	3069	824	192	103	97	283	113
PBANKA_0211800	2466	233	99	26	93	101	52
PBANKA_0211900	4953	2122	695	275	298	869	203
PBANKA_0212000	5409	838	280	106	119	476	99
PBANKA_0212100	981	5727	3314	1243	966	2251	578
PBANKA_0212200	15459	9271	2100	116	527	2712	648
PBANKA_0212300	1620	1574	729	241	122	621	106
PBANKA_0212400	711	2195	1005	302	288	611	189
PBANKA_0212500	381	580	292	108	73	268	45
PBANKA_0212600	396	1460	442	185	83	306	44
PBANKA_0212700	5286	8328	4008	517	1141	3402	891
PBANKA_0212800	1686	2186	1523	529	527	1180	221
PBANKA_0212900	1194	1741	1250	696	690	2127	461
PBANKA_0213000	1581	2460	2790	1140	1261	3850	677
PBANKA_0213100	303	535	401	110	101	238	57
PBANKA_0213200	7044	27806	6352	172	1391	7489	1597
PBANKA_0213300	738	233	262	73	82	279	46
PBANKA_0213400	2472	1756	675	215	205	525	146
PBANKA_0213500	1050	2653	1822	719	713	2140	407
PBANKA_0213600	2436	3167	2081	263	556	1347	420
PBANKA_0213700	492	1851	1448	417	384	854	124
PBANKA_0213800	2319	3685	2030	533	512	1550	197
PBANKA_0213900	294	1357	797	288	10	136	9
PBANKA_0214000	15177	27370	6547	189	784	6761	941
PBANKA_0214100	249	98	86	25	35	133	24
PBANKA_0214200	2475	2115	958	282	206	612	209
PBANKA_0214300	2679	2334	1238	311	511	863	309
PBANKA_0214400	3819	7782	2552	568	1051	2331	568
PBANKA_0214500	477	1675	1138	453	316	896	228
PBANKA_0214521	73	9	8	8	8	0	16
PBANKA_0214531	72	7	6	8	16	20	13
PBANKA_0214550	732	630	245	104	70	168	33
PBANKA_0214600	3066	1458	713	121	182	705	98
PBANKA_0214700	1347	9067	3886	1232	1244	2962	765
PBANKA_0214800	1206	8506	7459	1764	2203	3815	1429
PBANKA_0214900	849	283	159	70	75	239	29
PBANKA_0214951	432	43	21	19	11	20	9
PBANKA_0215700	897	101	54	13	4	36	9
PBANKA_0215800	744	202	62	38	8	27	11
PBANKA_0215900	1020	18	3	2	0	7	5
PBANKA_0216000	1713	238	209	66	11	9	22
PBANKA_0216021	777	2	0	1	0	0	0
PBANKA_0216041	969	26	2	3	1	5	0
PBANKA_0216061	849	66	10	6	0	1	4
PBANKA_0216081	879	0	0	0	0	0	0
PBANKA_0216701	795	43	31	8	4	16	1
PBANKA_0216721	459	1	2	0	0	1	0
PBANKA_0216741	1308	251	297	128	29	171	14
PBANKA_0216761	1839	342	136	49	35	141	26
PBANKA_0216781	888	314	202	64	102	280	15
PBANKA_0216801	3759	117	38	28	21	56	13
PBANKA_0300100	2526	519	187	46	41	64	4
PBANKA_0300200	954	49	16	7	3	17	0
PBANKA_0300300	939	446	220	69	49	183	7
PBANKA_0300400	960	28	3	2	1	15	6
PBANKA_0300500	1212	59	32	8	6	24	1
PBANKA_0300600	1953	5585	5689	637	2415	4360	595
PBANKA_0300700	3384	6918	2766	893	1013	2375	946
PBANKA_0300800	1626	633	252	85	83	231	58
PBANKA_0300900	363	590	203	75	86	393	89
PBANKA_0301000	4872	11572	4883	1072	1016	3681	993
PBANKA_0301100	1206	4363	2518	785	679	1897	425
PBANKA_0301200	648	1063	703	360	168	866	70
PBANKA_0301300	276	20595	17024	6764	10284	27538	5805
PBANKA_0301351	72	6	8	4	6	8	11
PBANKA_0301400	1479	1637	1008	281	239	749	212
PBANKA_0301500	1050	1093	605	167	142	370	85
PBANKA_0301600	1677	57212	44179	13032	18517	28014	13580
PBANKA_0301700	1362	1884	805	346	179	1176	109
PBANKA_0301800	2328	2630	885	360	107	441	20
PBANKA_0301900	5391	4707	1479	357	706	1542	777
PBANKA_0302000	831	2407	1943	679	210	1605	175
PBANKA_0302100	1968	3345	949	342	194	928	48
PBANKA_0302200	324	1755	626	204	94	662	28
PBANKA_0302300	1233	613	305	108	76	384	65
PBANKA_0302400	2952	498	270	101	58	247	104
PBANKA_0302500	1518	6214	3008	938	896	1830	549
PBANKA_0302600	1152	2328	1385	452	287	1208	125
PBANKA_0302700	1089	489	98	48	74	163	26
PBANKA_0302800	1488	2896	943	322	352	878	537
PBANKA_0302900	594	2090	1192	475	45	175	16
PBANKA_0303000	1704	1985	567	209	15	116	20
PBANKA_0303100	1356	778	311	111	110	298	69
PBANKA_0303200	402	514	281	109	145	425	60
PBANKA_0303300	1860	2860	945	400	373	856	239
PBANKA_0303400	609	1597	1086	392	350	924	142
PBANKA_0303500	369	3707	2921	976	1082	3664	450
PBANKA_0303600	2982	6709	3092	846	1284	2424	713
PBANKA_0303700	3864	12535	4706	472	1696	3345	831
PBANKA_0303800	744	1736	1450	557	402	1557	162
PBANKA_0303900	1626	4970	3419	951	781	1901	477
PBANKA_0304000	5934	558	138	70	91	232	60
PBANKA_0304100	3093	3333	816	214	218	767	168
PBANKA_0304200	321	226	159	50	46	124	39
PBANKA_0304300	1374	403	222	92	54	259	44
PBANKA_0304400	606	1124	1189	469	613	1306	276
PBANKA_0304500	4953	7313	2612	305	665	2744	530
PBANKA_0304600	555	265	218	76	74	127	51
PBANKA_0304700	2160	65	62	18	16	46	26
PBANKA_0304800	2772	3507	775	356	257	692	170
PBANKA_0304900	3291	6673	4390	649	1221	3920	302
PBANKA_0305000	3369	5963	2121	344	862	1831	164
PBANKA_0305100	4221	8726	4308	597	1502	3366	318
PBANKA_0305200	4560	750	366	157	116	266	117
PBANKA_0305300	897	662	409	125	39	298	36
PBANKA_0305400	4503	916	316	109	163	329	103
PBANKA_0305500	3417	1062	346	128	137	447	109
PBANKA_0305600	420	320	174	73	29	162	34
PBANKA_0305700	1206	493	360	156	31	260	44
PBANKA_0305800	669	1014	765	290	185	617	99
PBANKA_0305900	657	1191	701	214	172	644	96
PBANKA_0306000	6864	22356	4627	366	255	1511	124
PBANKA_0306100	8271	12290	2903	136	395	1757	248
PBANKA_0306200	2085	1192	922	362	346	683	145
PBANKA_0306300	816	499	366	189	185	397	103
PBANKA_0306400	741	606	340	157	73	354	79
PBANKA_0306500	1365	1446	1102	315	379	941	364
PBANKA_0306600	1452	2978	2049	673	542	1395	592
PBANKA_0306700	3030	578	390	142	122	303	50
PBANKA_0306800	1401	4331	2178	787	675	1445	458
PBANKA_0306900	252	7357	6750	1737	1759	4021	1591
PBANKA_0307000	291	2767	1799	1235	1320	4284	866
PBANKA_0307100	6414	18542	5197	1470	1581	4287	1489
PBANKA_0307200	1371	3942	2451	1023	809	2347	394
PBANKA_0307300	360	648	347	142	46	220	30
PBANKA_0307400	3978	1444	359	109	143	529	97
PBANKA_0307500	1341	243	210	62	69	177	63
PBANKA_0307600	945	6241	2213	681	677	3169	334
PBANKA_0307700	1188	56	13	6	33	46	24
PBANKA_0307800	849	14204	9143	2106	2266	5639	1678
PBANKA_0307900	3318	596	195	58	102	227	119
PBANKA_0308000	681	862	466	182	151	403	103
PBANKA_0308100	882	772	347	199	134	347	79
PBANKA_0308200	1116	327	213	73	101	163	101
PBANKA_0308300	3528	7880	3004	903	594	1630	264
PBANKA_0308400	615	229	47	19	20	62	20
PBANKA_0308500	2211	1441	675	253	249	690	172
PBANKA_0308600	1728	3399	1614	708	502	1239	312
PBANKA_0308700	1173	341	177	65	79	81	75
PBANKA_0308800	924	587	400	208	177	429	160
PBANKA_0308900	2757	1398	404	174	97	505	115
PBANKA_0309000	789	657	346	116	151	244	131
PBANKA_0309100	1287	1894	1276	504	632	1137	339
PBANKA_0309200	9708	3075	810	334	468	1184	379
PBANKA_0309400	10971	6545	1767	363	988	2385	527
PBANKA_0309500	747	251	240	92	87	245	34
PBANKA_0309600	1032	307	126	53	23	122	9
PBANKA_0309700	2037	455	250	119	122	273	56
PBANKA_0309800	1044	473	333	107	121	241	75
PBANKA_0309900	501	170	102	39	23	121	23
PBANKA_0310000	1005	2429	1543	623	879	1621	547
PBANKA_0310100	384	1107	843	348	239	936	189
PBANKA_0310200	237	375	318	126	101	256	79
PBANKA_0310300	1050	3497	2652	737	625	1749	491
PBANKA_0310400	1377	687	339	155	160	509	97
PBANKA_0310500	6045	4423	1475	486	301	968	283
PBANKA_0310600	465	325	231	71	50	167	40
PBANKA_0310700	2001	13057	6581	1899	2770	5171	2258
PBANKA_0310800	2487	1788	786	262	303	725	319
PBANKA_0310900	1632	4960	2791	348	675	2305	392
PBANKA_0311000	4167	6656	2853	272	549	2429	327
PBANKA_0311100	639	1003	728	259	237	864	108
PBANKA_0311200	1686	1575	743	261	139	600	73
PBANKA_0311300	906	194	53	16	12	132	17
PBANKA_0311400	4953	16552	7567	656	2151	5419	2318
PBANKA_0311500	900	977	1202	358	264	754	193
PBANKA_0311600	3618	3551	1643	608	569	1483	375
PBANKA_0311700	2085	1045	511	131	109	301	56
PBANKA_0311800	2262	3281	1262	452	447	976	143
PBANKA_0311900	900	1181	1482	376	719	1907	246
PBANKA_0312000	738	8638	6848	1979	1265	3793	823
PBANKA_0312100	2418	3847	2114	540	527	1458	314
PBANKA_0312200	1632	1372	608	155	128	454	91
PBANKA_0312300	1044	791	703	195	136	598	109
PBANKA_0312400	3939	6816	3179	446	1639	2357	1177
PBANKA_0312500	2448	5003	3093	1025	479	1692	248
PBANKA_0312600	810	653	360	236	190	836	90
PBANKA_0312700	4398	67626	22559	5281	181	1192	7062
PBANKA_0312800	3378	604	190	102	212	761	69
PBANKA_0312900	699	136	56	24	12	108	14
PBANKA_0313000	3348	332	93	41	46	162	30
PBANKA_0313100	2094	992	398	147	134	330	112
PBANKA_0313200	4830	680	282	69	84	281	68
PBANKA_0313300	1743	3697	2206	634	1098	1886	564
PBANKA_0313400	4320	1469	938	91	112	613	78
PBANKA_0313500	2619	508	220	83	45	145	26
PBANKA_0313600	1392	2765	1315	377	25	106	11
PBANKA_0313700	2589	2173	855	287	233	418	104
PBANKA_0313800	1647	8140	4440	1193	1861	3246	895
PBANKA_0313900	4197	1555	503	231	133	450	97
PBANKA_0314000	426	161	89	34	29	143	20
PBANKA_0314100	453	1470	1310	465	638	1036	329
PBANKA_0314200	1572	8317	4590	1387	1572	3061	1093
PBANKA_0314300	4290	966	408	151	189	598	131
PBANKA_0314400	678	1151	593	130	149	387	119
PBANKA_0314500	324	3728	2699	1472	1907	5567	1170
PBANKA_0314600	1515	1051	334	176	197	494	140
PBANKA_0314700	993	4733	2677	1131	1020	2050	746
PBANKA_0314800	957	2874	1978	928	1996	3987	977
PBANKA_0314900	2295	2407	1065	105	269	1193	233
PBANKA_0315000	1068	274	115	38	30	94	10
PBANKA_0315100	1500	1007	583	185	192	482	103
PBANKA_0315200	306	486	357	142	125	334	79
PBANKA_0315300	5298	2479	1365	408	554	1305	519
PBANKA_0315400	1443	1194	607	196	91	599	36
PBANKA_0315410	520	663	354	248	115	742	63
PBANKA_0315420	121	11	4	0	7	5	2
PBANKA_0315430	84	3	2	0	3	6	3
PBANKA_0315500	1191	676	432	121	156	271	77
PBANKA_0315600	177	1888	1691	739	1208	2545	659
PBANKA_0315700	402	216	77	47	14	104	12
PBANKA_0315800	207	9354	9105	2470	6433	19577	1523
PBANKA_0315900	957	751	452	227	136	510	114
PBANKA_0316000	2586	14205	5375	1124	914	2435	654
PBANKA_0316100	777	1210	312	254	181	972	118
PBANKA_0316200	5220	43171	11433	379	7059	10788	5716
PBANKA_0316300	819	1024	350	154	93	389	17
PBANKA_0316400	1089	1545	930	295	155	482	116
PBANKA_0316500	900	245	109	37	26	98	9
PBANKA_0316600	8196	2536	496	49	141	625	121
PBANKA_0316650	510	27	32	11	6	11	24
PBANKA_0316700	582	222	171	56	25	106	30
PBANKA_0316800	1164	1724	645	325	371	506	149
PBANKA_0316821	504	90	60	9	13	41	1
PBANKA_0316841	780	191	97	40	20	62	2
PBANKA_0316861	942	313	226	65	29	74	4
PBANKA_0316900	1059	142	81	11	14	21	5
PBANKA_0316921	747	14	4	0	0	0	0
