Geneid	Length	RNA-seq_gSNF2_KO_1	RNA-seq_gSNF2_KO_2	RNA-seq_gSNF2_KO_3
PBANKA_0103700	285	87	170	43
PBANKA_0103800	585	119	191	87
PBANKA_0103900	2208	694	1390	470
PBANKA_0104000	636	1010	2635	486
PBANKA_0104100	1062	1133	2976	395
PBANKA_0104200	474	13	64	10
PBANKA_0104300	1797	33	120	31
PBANKA_0104400	4974	412	1095	343
PBANKA_0104500	780	1249	5502	1281
PBANKA_0104600	5598	1041	3691	814
PBANKA_0104700	867	1171	6272	533
PBANKA_0104800	3003	259	1055	274
PBANKA_0104900	1701	318	1320	368
PBANKA_0105000	450	489	834	293
PBANKA_0105100	375	1305	8483	581
PBANKA_0105200	1965	85	375	83
PBANKA_0105300	5337	518	1839	336
PBANKA_0105400	4152	486	1303	352
PBANKA_0105500	651	178	1163	120
PBANKA_0105600	2802	556	1173	328
PBANKA_0105700	1407	145	673	151
PBANKA_0105800	1164	250	858	94
PBANKA_0105900	1260	189	529	84
PBANKA_0106000	1902	641	1434	351
PBANKA_0106100	1383	108	299	60
PBANKA_0106200	2259	419	1804	410
PBANKA_0106300	6528	10142	42115	6222
PBANKA_0106400	1671	234	753	149
PBANKA_0106500	2364	111	325	83
PBANKA_0106600	1056	81	225	66
PBANKA_0106700	3534	251	648	200
PBANKA_0106800	477	109	572	73
PBANKA_0106900	3252	284	495	165
PBANKA_0106950	1365	59	186	36
PBANKA_0107000	321	228	1401	105
PBANKA_0107100	708	337	598	205
PBANKA_0107200	690	201	737	188
PBANKA_0107300	1632	749	1372	446
PBANKA_0107400	1245	920	2105	677
PBANKA_0107500	2616	146	503	116
PBANKA_0107600	16323	787	2494	627
PBANKA_0107700	1035	1342	6325	543
PBANKA_0107800	1344	111	280	101
PBANKA_0107900	2322	379	876	227
PBANKA_0108000	1809	104	439	101
PBANKA_0108100	3330	312	1089	280
PBANKA_0108200	4734	300	1136	319
PBANKA_0108300	855	3111	4920	2028
PBANKA_0108400	5244	330	748	269
PBANKA_0108500	954	71	299	39
PBANKA_0108600	1290	131	366	61
PBANKA_0108700	2040	1011	4170	902
PBANKA_0108800	411	2599	4049	902
PBANKA_0108900	372	105	165	58
PBANKA_0109000	258	17	109	25
PBANKA_0109100	2013	955	1707	592
PBANKA_0109200	3525	658	1799	472
PBANKA_0109300	870	251	1273	86
PBANKA_0109400	267	45	166	46
PBANKA_0109500	840	202	731	130
PBANKA_0109600	843	916	2131	623
PBANKA_0109700	2409	466	1605	296
PBANKA_0109800	1113	1355	6463	810
PBANKA_0109900	1854	1509	8183	571
PBANKA_0110000	156	482	2709	278
PBANKA_0110100	7836	985	5831	907
PBANKA_0110200	537	294	568	189
PBANKA_0110300	171	34	55	13
PBANKA_0110400	1707	192	531	115
PBANKA_0110500	6105	3802	11898	3256
PBANKA_0110600	354	23	124	12
PBANKA_0110700	705	349	530	269
PBANKA_0110800	360	666	5244	520
PBANKA_0110900	1218	786	3029	463
PBANKA_0111000	1005	20	161	18
PBANKA_0111100	984	35	148	30
PBANKA_0111200	2034	348	1131	223
PBANKA_0111300	379	192	791	108
PBANKA_0111400	231	616	1965	355
PBANKA_0111500	192	45	283	25
PBANKA_0111600	3267	100	317	76
PBANKA_0111700	639	594	1394	366
PBANKA_0111800	3003	178	454	152
PBANKA_0111900	2169	127	300	106
PBANKA_0112000	1947	74	329	48
PBANKA_0112100	7737	730	2271	649
PBANKA_0112200	5877	326	903	292
PBANKA_0112300	2538	217	799	141
PBANKA_0112400	2436	119	553	63
PBANKA_0112500	1800	201	556	91
PBANKA_0112600	1329	90	312	58
PBANKA_0112621	1470	28	38	30
PBANKA_0112641	693	92	264	181
PBANKA_0112661	798	1	0	0
PBANKA_0112681	891	0	0	0
PBANKA_0112701	876	0	0	0
PBANKA_0112721	843	0	3	1
PBANKA_0200400	981	538	1757	152
PBANKA_0200500	789	4	8	0
PBANKA_0200600	849	10	33	4
PBANKA_0200650	816	3	6	1
PBANKA_0200670	894	0	5	0
PBANKA_0200700	741	1	1	2
PBANKA_0200751	963	2	8	2
PBANKA_0201000	777	19	50	32
PBANKA_0201051	5301	6	88	6
PBANKA_0201100	825	15	41	2
PBANKA_0201200	672	5	12	7
PBANKA_0201250	639	319	453	159
PBANKA_0201300	1371	142	234	97
PBANKA_0201340	330	200	463	146
PBANKA_0201360	1473	15	25	4
PBANKA_0201400	858	15	53	14
PBANKA_0201450	633	10	21	10
PBANKA_0201500	687	281	308	66
PBANKA_0201600	534	7402	13367	4016
PBANKA_0201700	258	64	194	62
PBANKA_0201800	1323	65	297	87
PBANKA_0201900	240	136	712	113
PBANKA_0202000	1632	425	1838	249
PBANKA_0202100	351	9	34	10
PBANKA_0202200	804	54	189	39
PBANKA_0202300	1086	257	588	163
PBANKA_0202400	1623	299	727	209
PBANKA_0202500	3132	535	1890	418
PBANKA_0202600	294	14	325	22
PBANKA_0202700	4383	684	1719	131
PBANKA_0202800	606	82	128	49
PBANKA_0202900	1104	277	843	258
PBANKA_0203000	1341	1325	5234	1225
PBANKA_0203100	3726	706	1641	391
PBANKA_0203200	3342	389	909	292
PBANKA_0203300	681	143	335	71
PBANKA_0203400	420	151	214	59
PBANKA_0203500	2100	275	752	271
PBANKA_0203600	690	2706	6846	2976
PBANKA_0203650	501	115	819	55
PBANKA_0203750	1758	470	1236	188
PBANKA_0203800	1668	286	598	168
PBANKA_0203900	567	39	271	25
PBANKA_0204000	435	30	105	33
PBANKA_0204100	459	251	545	139
PBANKA_0204200	498	296	1774	271
PBANKA_0204300	969	118	446	82
PBANKA_0204400	726	504	1418	393
PBANKA_0204500	3150	2716	7103	2144
PBANKA_0204600	669	505	1354	196
PBANKA_0204700	1083	378	781	219
PBANKA_0204800	2763	511	1813	238
PBANKA_0204900	906	308	619	166
PBANKA_0205000	519	143	904	81
PBANKA_0205100	1005	173	426	147
PBANKA_0205200	5655	2952	7075	1664
PBANKA_0205300	1989	97	320	61
PBANKA_0205400	657	418	742	314
PBANKA_0205500	780	24	88	32
PBANKA_0205600	3153	87	287	60
PBANKA_0205700	1263	4	8	7
PBANKA_0205800	8175	2498	14819	2363
PBANKA_0205900	4074	695	1553	419
PBANKA_0206000	510	264	1000	162
PBANKA_0206100	1017	127	473	60
PBANKA_0206200	1434	160	336	101
PBANKA_0206300	507	1074	1559	350
PBANKA_0206400	1929	86	181	54
PBANKA_0206500	645	412	829	276
PBANKA_0206600	3558	261	709	134
PBANKA_0206700	819	18	50	12
PBANKA_0206800	3939	332	1146	218
PBANKA_0206900	480	83	145	57
PBANKA_0207000	3363	1752	3694	1359
PBANKA_0207100	636	66	186	42
PBANKA_0207200	1152	170	709	80
PBANKA_0207300	2094	153	280	59
PBANKA_0207400	1536	89	286	52
PBANKA_0207500	2466	461	1744	245
PBANKA_0207600	6558	746	6105	647
PBANKA_0207700	3540	193	513	95
PBANKA_0207800	990	51	115	24
PBANKA_0207900	423	27	177	11
PBANKA_0208000	486	300	1011	178
PBANKA_0208100	1671	184	597	88
PBANKA_0208200	429	84	411	65
PBANKA_0208300	1521	91	306	49
PBANKA_0208400	1875	176	684	83
PBANKA_0208500	3798	238	526	122
PBANKA_0208600	822	109	314	100
PBANKA_0208700	1479	275	681	136
PBANKA_0208800	8838	643	3605	896
PBANKA_0208900	1326	103	422	74
PBANKA_0209000	2457	145	439	87
PBANKA_0209100	480	165	227	91
PBANKA_0209200	1518	73	271	43
PBANKA_0209300	1140	7053	13264	3801
PBANKA_0209400	1623	213	767	70
PBANKA_0209500	3177	338	1055	181
PBANKA_0209600	4680	154	446	112
PBANKA_0209700	4614	1051	2585	722
PBANKA_0209800	2229	93	425	78
PBANKA_0209900	1290	75	239	68
PBANKA_0210000	3891	243	572	186
PBANKA_0210100	846	209	637	244
PBANKA_0210200	2061	2383	4349	816
PBANKA_0210300	1485	159	314	58
PBANKA_0210400	3231	1383	3833	819
PBANKA_0210500	12615	385	1156	224
PBANKA_0210600	8367	585	5435	453
PBANKA_0210700	2040	526	994	341
PBANKA_0210800	513	71	400	57
PBANKA_0210900	318	58	120	35
PBANKA_0211000	1317	154	450	149
PBANKA_0211100	2820	44	136	28
PBANKA_0211200	2652	111	496	102
PBANKA_0211300	1626	233	594	143
PBANKA_0211400	2322	110	437	80
PBANKA_0211500	771	657	942	349
PBANKA_0211600	2163	265	644	286
PBANKA_0211700	3069	97	283	113
PBANKA_0211800	2466	93	101	52
PBANKA_0211900	4953	298	869	203
PBANKA_0212000	5409	119	476	99
PBANKA_0212100	981	966	2251	578
PBANKA_0212200	15459	527	2712	648
PBANKA_0212300	1620	122	621	106
PBANKA_0212400	711	288	611	189
PBANKA_0212500	381	73	268	45
PBANKA_0212600	396	83	306	44
PBANKA_0212700	5286	1141	3402	891
PBANKA_0212800	1686	527	1180	221
PBANKA_0212900	1194	690	2127	461
PBANKA_0213000	1581	1261	3850	677
PBANKA_0213100	303	101	238	57
PBANKA_0213200	7044	1391	7489	1597
PBANKA_0213300	738	82	279	46
PBANKA_0213400	2472	205	525	146
PBANKA_0213500	1050	713	2140	407
PBANKA_0213600	2436	556	1347	420
PBANKA_0213700	492	384	854	124
PBANKA_0213800	2319	512	1550	197
PBANKA_0213900	294	10	136	9
PBANKA_0214000	15177	784	6761	941
PBANKA_0214100	249	35	133	24
PBANKA_0214200	2475	206	612	209
PBANKA_0214300	2679	511	863	309
PBANKA_0214400	3819	1051	2331	568
PBANKA_0214500	477	316	896	228
PBANKA_0214521	73	8	0	16
PBANKA_0214531	72	16	20	13
PBANKA_0214550	732	70	168	33
PBANKA_0214600	3066	182	705	98
PBANKA_0214700	1347	1244	2962	765
PBANKA_0214800	1206	2203	3815	1429
PBANKA_0214900	849	75	239	29
PBANKA_0214951	432	11	20	9
PBANKA_0215700	897	4	36	9
PBANKA_0215800	744	8	27	11
PBANKA_0215900	1020	0	7	5
PBANKA_0216000	1713	11	9	22
PBANKA_0216021	777	0	0	0
PBANKA_0216041	969	1	5	0
PBANKA_0216061	849	0	1	4
PBANKA_0216081	879	0	0	0
PBANKA_0216701	795	4	16	1
PBANKA_0216721	459	0	1	0
PBANKA_0216741	1308	29	171	14
PBANKA_0216761	1839	35	141	26
PBANKA_0216781	888	102	280	15
PBANKA_0216801	3759	21	56	13
PBANKA_0300100	2526	41	64	4
PBANKA_0300200	954	3	17	0
PBANKA_0300300	939	49	183	7
PBANKA_0300400	960	1	15	6
PBANKA_0300500	1212	6	24	1
PBANKA_0300600	1953	2415	4360	595
PBANKA_0300700	3384	1013	2375	946
PBANKA_0300800	1626	83	231	58
PBANKA_0300900	363	86	393	89
PBANKA_0301000	4872	1016	3681	993
PBANKA_0301100	1206	679	1897	425
PBANKA_0301200	648	168	866	70
PBANKA_0301300	276	10284	27538	5805
PBANKA_0301351	72	6	8	11
PBANKA_0301400	1479	239	749	212
PBANKA_0301500	1050	142	370	85
PBANKA_0301600	1677	18517	28014	13580
PBANKA_0301700	1362	179	1176	109
PBANKA_0301800	2328	107	441	20
PBANKA_0301900	5391	706	1542	777
PBANKA_0302000	831	210	1605	175
PBANKA_0302100	1968	194	928	48
PBANKA_0302200	324	94	662	28
PBANKA_0302300	1233	76	384	65
PBANKA_0302400	2952	58	247	104
PBANKA_0302500	1518	896	1830	549
PBANKA_0302600	1152	287	1208	125
PBANKA_0302700	1089	74	163	26
PBANKA_0302800	1488	352	878	537
PBANKA_0302900	594	45	175	16
PBANKA_0303000	1704	15	116	20
PBANKA_0303100	1356	110	298	69
PBANKA_0303200	402	145	425	60
PBANKA_0303300	1860	373	856	239
PBANKA_0303400	609	350	924	142
PBANKA_0303500	369	1082	3664	450
PBANKA_0303600	2982	1284	2424	713
PBANKA_0303700	3864	1696	3345	831
PBANKA_0303800	744	402	1557	162
PBANKA_0303900	1626	781	1901	477
PBANKA_0304000	5934	91	232	60
PBANKA_0304100	3093	218	767	168
PBANKA_0304200	321	46	124	39
PBANKA_0304300	1374	54	259	44
PBANKA_0304400	606	613	1306	276
PBANKA_0304500	4953	665	2744	530
PBANKA_0304600	555	74	127	51
PBANKA_0304700	2160	16	46	26
PBANKA_0304800	2772	257	692	170
PBANKA_0304900	3291	1221	3920	302
PBANKA_0305000	3369	862	1831	164
PBANKA_0305100	4221	1502	3366	318
PBANKA_0305200	4560	116	266	117
PBANKA_0305300	897	39	298	36
PBANKA_0305400	4503	163	329	103
PBANKA_0305500	3417	137	447	109
PBANKA_0305600	420	29	162	34
PBANKA_0305700	1206	31	260	44
PBANKA_0305800	669	185	617	99
PBANKA_0305900	657	172	644	96
PBANKA_0306000	6864	255	1511	124
PBANKA_0306100	8271	395	1757	248
PBANKA_0306200	2085	346	683	145
PBANKA_0306300	816	185	397	103
PBANKA_0306400	741	73	354	79
PBANKA_0306500	1365	379	941	364
PBANKA_0306600	1452	542	1395	592
PBANKA_0306700	3030	122	303	50
PBANKA_0306800	1401	675	1445	458
PBANKA_0306900	252	1759	4021	1591
PBANKA_0307000	291	1320	4284	866
PBANKA_0307100	6414	1581	4287	1489
PBANKA_0307200	1371	809	2347	394
PBANKA_0307300	360	46	220	30
PBANKA_0307400	3978	143	529	97
PBANKA_0307500	1341	69	177	63
PBANKA_0307600	945	677	3169	334
PBANKA_0307700	1188	33	46	24
PBANKA_0307800	849	2266	5639	1678
PBANKA_0307900	3318	102	227	119
PBANKA_0308000	681	151	403	103
PBANKA_0308100	882	134	347	79
PBANKA_0308200	1116	101	163	101
PBANKA_0308300	3528	594	1630	264
PBANKA_0308400	615	20	62	20
PBANKA_0308500	2211	249	690	172
PBANKA_0308600	1728	502	1239	312
PBANKA_0308700	1173	79	81	75
PBANKA_0308800	924	177	429	160
PBANKA_0308900	2757	97	505	115
PBANKA_0309000	789	151	244	131
PBANKA_0309100	1287	632	1137	339
PBANKA_0309200	9708	468	1184	379
PBANKA_0309400	10971	988	2385	527
PBANKA_0309500	747	87	245	34
PBANKA_0309600	1032	23	122	9
PBANKA_0309700	2037	122	273	56
PBANKA_0309800	1044	121	241	75
PBANKA_0309900	501	23	121	23
PBANKA_0310000	1005	879	1621	547
PBANKA_0310100	384	239	936	189
PBANKA_0310200	237	101	256	79
PBANKA_0310300	1050	625	1749	491
PBANKA_0310400	1377	160	509	97
PBANKA_0310500	6045	301	968	283
PBANKA_0310600	465	50	167	40
PBANKA_0310700	2001	2770	5171	2258
PBANKA_0310800	2487	303	725	319
PBANKA_0310900	1632	675	2305	392
PBANKA_0311000	4167	549	2429	327
PBANKA_0311100	639	237	864	108
PBANKA_0311200	1686	139	600	73
PBANKA_0311300	906	12	132	17
PBANKA_0311400	4953	2151	5419	2318
PBANKA_0311500	900	264	754	193
PBANKA_0311600	3618	569	1483	375
PBANKA_0311700	2085	109	301	56
PBANKA_0311800	2262	447	976	143
PBANKA_0311900	900	719	1907	246
PBANKA_0312000	738	1265	3793	823
PBANKA_0312100	2418	527	1458	314
PBANKA_0312200	1632	128	454	91
PBANKA_0312300	1044	136	598	109
PBANKA_0312400	3939	1639	2357	1177
PBANKA_0312500	2448	479	1692	248
PBANKA_0312600	810	190	836	90
PBANKA_0312700	4398	181	1192	7062
PBANKA_0312800	3378	212	761	69
PBANKA_0312900	699	12	108	14
PBANKA_0313000	3348	46	162	30
PBANKA_0313100	2094	134	330	112
PBANKA_0313200	4830	84	281	68
PBANKA_0313300	1743	1098	1886	564
PBANKA_0313400	4320	112	613	78
PBANKA_0313500	2619	45	145	26
PBANKA_0313600	1392	25	106	11
PBANKA_0313700	2589	233	418	104
PBANKA_0313800	1647	1861	3246	895
PBANKA_0313900	4197	133	450	97
PBANKA_0314000	426	29	143	20
PBANKA_0314100	453	638	1036	329
PBANKA_0314200	1572	1572	3061	1093
PBANKA_0314300	4290	189	598	131
PBANKA_0314400	678	149	387	119
PBANKA_0314500	324	1907	5567	1170
PBANKA_0314600	1515	197	494	140
PBANKA_0314700	993	1020	2050	746
PBANKA_0314800	957	1996	3987	977
PBANKA_0314900	2295	269	1193	233
PBANKA_0315000	1068	30	94	10
PBANKA_0315100	1500	192	482	103
PBANKA_0315200	306	125	334	79
PBANKA_0315300	5298	554	1305	519
PBANKA_0315400	1443	91	599	36
PBANKA_0315410	520	115	742	63
PBANKA_0315420	121	7	5	2
PBANKA_0315430	84	3	6	3
PBANKA_0315500	1191	156	271	77
PBANKA_0315600	177	1208	2545	659
PBANKA_0315700	402	14	104	12
PBANKA_0315800	207	6433	19577	1523
PBANKA_0315900	957	136	510	114
PBANKA_0316000	2586	914	2435	654
PBANKA_0316100	777	181	972	118
PBANKA_0316200	5220	7059	10788	5716
PBANKA_0316300	819	93	389	17
PBANKA_0316400	1089	155	482	116
PBANKA_0316500	900	26	98	9
PBANKA_0316600	8196	141	625	121
PBANKA_0316650	510	6	11	24
PBANKA_0316700	582	25	106	30
PBANKA_0316800	1164	371	506	149
PBANKA_0316821	504	13	41	1
PBANKA_0316841	780	20	62	2
PBANKA_0316861	942	29	74	4
PBANKA_0316900	1059	14	21	5
PBANKA_0316921	747	0	0	0
PBANKA_0316941	909	0	0	0
PBANKA_0316961	732	0	0	0
PBANKA_0316981	8313	20	68	12
PBANKA_0317001	909	6	8	5
PBANKA_0317021	744	13	16	3
PBANKA_0317041	996	7	40	4
PBANKA_0317061	879	114	296	5
PBANKA_0317081	432	11	12	1
PBANKA_0317101	885	9	20	1
PBANKA_0317121	834	12	16	2
PBANKA_0317141	849	17	64	8
PBANKA_0317161	570	14	25	12
PBANKA_0317181	2232	236	302	14
PBANKA_0400100	1827	15	23	8
PBANKA_0400200	792	4	15	1
PBANKA_0400500	2622	611	978	31
PBANKA_0400600	939	21	99	1
PBANKA_0400700	792	10	25	6
PBANKA_0400800	777	2	6	2
PBANKA_0400900	1119	110	394	56
PBANKA_0401000	1857	428	1036	301
PBANKA_0401100	3921	1445	3809	1224
PBANKA_0401200	3825	274	746	141
PBANKA_0401300	531	182	426	61
PBANKA_0401400	1425	224	702	194
PBANKA_0401500	3741	1138	2511	1210
PBANKA_0401600	2334	569	1011	317
PBANKA_0401700	3963	214	893	218
PBANKA_0401800	3282	559	1686	430
PBANKA_0401900	459	326	833	233
PBANKA_0402000	1836	350	788	269
PBANKA_0402100	5475	940	2486	1023
PBANKA_0402200	528	9	59	10
PBANKA_0402300	1332	303	630	232
PBANKA_0402400	1722	388	695	199
PBANKA_0402500	579	3813	6070	3424
PBANKA_0402600	2355	135	347	55
PBANKA_0402700	1539	25486	78213	14847
PBANKA_0402800	1590	232	785	123
PBANKA_0402900	3666	282	838	135
PBANKA_0403000	312	491	1850	329
PBANKA_0403100	507	178	585	113
PBANKA_0403200	1023	294	1335	38
PBANKA_0403300	4107	196	611	95
PBANKA_0403400	519	15	143	28
PBANKA_0403500	1146	17	58	14
PBANKA_0403600	10419	679	2347	389
PBANKA_0403700	2700	718	2010	492
PBANKA_0403800	2208	471	1033	248
PBANKA_0403900	438	523	2595	236
PBANKA_0404000	9936	604	2259	434
PBANKA_0404100	1623	758	1387	444
PBANKA_0404200	420	914	2015	654
PBANKA_0404300	2715	522	1804	793
PBANKA_0404400	411	759	1154	334
PBANKA_0404500	1062	125	275	74
PBANKA_0404600	1053	337	909	220
PBANKA_0404700	330	1643	3555	944
PBANKA_0404800	1884	1410	2532	911
PBANKA_0404900	903	587	1075	243
PBANKA_0405000	258	278	1084	98
PBANKA_0405100	348	404	1352	122
PBANKA_0405200	1602	879	1804	942
PBANKA_0405300	438	2398	5429	1271
PBANKA_0405310	140	8	24	2
PBANKA_0405400	429	1168	7985	721
PBANKA_0405500	774	1190	2572	617
PBANKA_0405600	1308	276	875	243
PBANKA_0405700	993	255	819	211
PBANKA_0405800	945	154	457	100
PBANKA_0405900	1671	153	404	84
PBANKA_0406000	4308	3042	6984	2490
PBANKA_0406100	1851	135	590	185
PBANKA_0406200	10875	207	899	315
PBANKA_0406300	1434	116	323	168
PBANKA_0406400	4572	158	600	152
PBANKA_0406500	1620	760	1504	699
PBANKA_0406600	834	40	182	19
PBANKA_0406650	132	40	97	44
PBANKA_0406700	423	139	535	53
PBANKA_0406800	1500	127	452	76
PBANKA_0406900	1398	239	772	33
PBANKA_0407000	327	146	406	199
PBANKA_0407100	3810	842	1707	614
PBANKA_0407200	1347	574	1628	454
PBANKA_0407300	531	454	2029	365
PBANKA_0407400	5160	1395	4490	1539
PBANKA_0407500	2073	247	528	308
PBANKA_0407550	85	5	20	1
PBANKA_0407600	1746	929	1938	384
PBANKA_0407700	336	2333	6975	1231
PBANKA_0407800	1581	132	449	125
PBANKA_0407900	840	317	972	179
PBANKA_0408000	4623	105	476	106
PBANKA_0408100	591	174	958	85
PBANKA_0408200	1665	663	1670	697
PBANKA_0408300	10542	916	3807	969
PBANKA_0408400	3210	1834	3564	1432
PBANKA_0408500	2970	62	131	34
PBANKA_0408600	708	128	447	73
PBANKA_0408700	435	181	813	184
PBANKA_0408800	330	202	559	197
PBANKA_0408900	2298	215	795	115
PBANKA_0409000	567	32	108	28
PBANKA_0409100	1269	124	292	104
PBANKA_0409200	3450	97	325	73
PBANKA_0409300	2943	1048	2247	676
PBANKA_0409400	8127	1707	19403	3306
PBANKA_0409500	246	279	1268	161
PBANKA_0409600	2040	155	475	104
PBANKA_0409700	1326	5687	12404	2695
PBANKA_0409800	1719	577	1792	301
PBANKA_0409900	1971	113	806	60
PBANKA_0410000	411	312	658	194
PBANKA_0410100	2058	202	337	106
PBANKA_0410200	3033	131	396	82
PBANKA_0410300	912	291	795	165
PBANKA_0410400	1293	797	1707	384
PBANKA_0410500	2169	682	1626	253
PBANKA_0410541	73	35	21	21
PBANKA_0410561	74	4	2	18
PBANKA_0410600	384	747	1155	496
PBANKA_0410650	999	54	109	32
PBANKA_0410700	861	57	250	47
PBANKA_0410800	2202	130	311	95
PBANKA_0410900	636	55	227	40
PBANKA_0411000	552	24	113	13
PBANKA_0411100	1986	61	202	56
PBANKA_0411200	2361	124	263	110
PBANKA_0411300	1689	983	2925	653
PBANKA_0411400	1557	375	921	188
PBANKA_0411500	1830	199	579	149
PBANKA_0411600	2874	196	719	140
PBANKA_0411700	855	353	1219	204
PBANKA_0411800	594	254	504	141
PBANKA_0411900	1239	69	102	72
PBANKA_0411950	3927	125	398	103
PBANKA_0412000	1134	34	72	19
PBANKA_0412100	927	739	1404	336
PBANKA_0412200	789	99	337	66
PBANKA_0412300	699	162	605	198
PBANKA_0412400	2763	20	55	24
PBANKA_0412500	2655	89	300	116
PBANKA_0412600	1455	34	102	22
PBANKA_0412700	570	32	274	15
PBANKA_0412800	684	462	910	284
PBANKA_0412900	5718	1840	3805	1476
PBANKA_0413000	4881	207	605	126
PBANKA_0413200	699	28	218	13
PBANKA_0413300	696	331	807	167
PBANKA_0413400	1116	1060	1551	978
PBANKA_0413500	3114	1949	4191	1332
PBANKA_0413600	798	97	270	42
PBANKA_0413700	852	81	152	55
PBANKA_0413800	921	106	197	119
PBANKA_0413900	921	63	143	53
PBANKA_0414000	5856	288	985	328
PBANKA_0414100	1104	941	2494	753
PBANKA_0414200	2604	69	279	51
PBANKA_0414300	1374	153	686	151
PBANKA_0414400	936	545	1217	182
PBANKA_0414500	681	436	946	355
PBANKA_0414600	393	856	2120	618
PBANKA_0414700	2037	429	1317	307
PBANKA_0414800	1065	265	569	144
PBANKA_0414900	2142	162	722	133
PBANKA_0415000	1374	101	652	78
PBANKA_0415100	1623	176	347	73
PBANKA_0415200	588	401	831	195
PBANKA_0415300	4569	211	845	137
PBANKA_0415400	4386	369	1116	286
PBANKA_0415500	3000	245	809	147
PBANKA_0415600	2958	398	1067	185
PBANKA_0415700	975	2765	5085	1044
PBANKA_0415800	3336	92	406	49
PBANKA_0415900	711	35	133	15
PBANKA_0416000	2727	1251	2083	398
PBANKA_0416100	17505	520	4139	430
PBANKA_0416200	3276	716	1406	592
PBANKA_0416300	6015	1271	1945	927
PBANKA_0416400	813	141	360	119
PBANKA_0416500	5853	673	1931	434
PBANKA_0416600	1461	453	1652	231
PBANKA_0416700	564	99	233	44
PBANKA_0416800	4161	378	948	174
PBANKA_0416900	390	45	336	20
PBANKA_0417000	558	199	637	125
PBANKA_0417100	7086	161	503	213
PBANKA_0417200	861	8876	20952	7122
PBANKA_0417300	3675	316	845	253
PBANKA_0417400	1035	611	1688	327
PBANKA_0417500	396	966	1637	818
PBANKA_0417600	4422	5616	17024	5624
PBANKA_0417700	1362	2088	2787	1081
PBANKA_0417800	2343	294	1369	239
PBANKA_0417900	3714	243	718	192
PBANKA_0418000	7263	496	1506	302
PBANKA_0418100	8331	505	1774	443
PBANKA_0418200	621	784	1798	442
